"","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)","Age-standardized suicide rates (per 100 000 population)"
""," 2016"," 2016"," 2016"," 2015"," 2015"," 2015"," 2010"," 2010"," 2010"," 2000"," 2000"," 2000"
"Country"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"," Both sexes"," Male"," Female"
"Jordan","3.7","4.7","2.7","3.7","4.7","2.7","3.7","4.7","2.7","4.8","5.8","3.7"
"Kazakhstan","22.8","40.1","7.7","25.2","44.2","8.5","32","56.1","10.7","34.9","63.1","10.4"
"Kenya","5.6","9.7","2.1","5.5","9.4","2.1","5.7","9.5","2.3","8.2","13.2","3.6"
"Kiribati","15.2","25.9","5.4","15.3","26","5.5","15.3","25.8","5.8","15.6","25.6","6.5"
"Kuwait","2.2","2.5","1.7","2.2","2.5","1.7","1.5","1.7","1.1","1.6","1.8","1.4"
"Kyrgyzstan","9.1","14.8","3.7","8.8","14.5","3.5","11.9","20","4.4","15.4","26.5","5.4"
"Lao People's Democratic Republic","9.3","12.9","6.1","9.3","12.8","6.1","9.9","13.5","6.6","12.4","16.8","8.2"
"Latvia","17.2","31","5.1","17.3","30.9","5.3","18.8","35.8","4.2","29.7","54.3","9.5"
"Lebanon","3.2","4.2","2.2","3.3","4.2","2.3","3.2","3.9","2.4","3.2","4.5","2.1"
"Lesotho","28.9","22.7","32.6","28.5","22.5","32.1","27.6","22.2","31","26.8","21.3","30.2"
"Liberia","13.4","13.8","13","12.9","13.2","12.6","13.2","13.5","12.7","11.2","12.9","9.5"
"Libya","5.5","8.7","2.3","4.6","7.1","2.1","5.8","9.1","2.4","6.2","9.1","3"
"Lithuania","25.7","47.5","6.7","28.8","51.5","8.9","31.3","56.4","9.5","46.3","81.7","15.6"
"Luxembourg","10.4","15","5.8","11.6","17.4","5.7","10.3","15.3","5.2","14.1","20.6","8.2"
"Madagascar","6.9","10.5","3.6","7","10.6","3.7","7.7","11.4","4.2","8.5","12.1","5"
"Malawi","7.8","13.7","3.2","7.6","13.3","3.2","8.1","14.2","3.2","11.9","20.3","4.7"
"Malaysia","6.2","8.7","3.6","6.1","8.7","3.6","6.3","9","3.6","7.4","10.4","4.4"
"Maldives","2.7","3.6","1.6","3","4","1.8","3.7","4.7","2.4","6.5","7.7","5.1"
"Mali","8.9","13.5","4.7","8.9","13.5","4.8","8.7","13.2","4.6","9","13.5","5"
"Malta","6.5","10.3","2.8","7","10.8","3.2","7","12.2","1.6","5.7","8.9","2.4"
"Mauritania","7.5","12.1","3.6","7.4","11.9","3.5","6.8","11.1","3.2","6.2","9.9","3"
"Mauritius","7.3","12.5","2.2","8.1","12.1","4.3","7.7","12.2","3.5","10.8","17.3","4.5"
"Mexico","5.2","8.2","2.3","5.6","9","2.4","4.8","7.9","1.9","4","6.9","1.2"
"Micronesia (Federated States of)","11.3","16.2","6.2","11.6","16.7","6.4","11.6","16.5","6.8","12.6","17","8.3"
"Mongolia","13.3","23.3","3.8","13.4","23.4","3.9","16.1","28","4.8","19.7","31.5","8.2"
"Montenegro","7.9","12.6","3.6","7.7","12.3","3.5","8.3","12.9","4.1","9.4","13.6","5.6"
"Morocco","3.1","2.5","3.6","3.1","2.5","3.7","4.1","3","5","8.2","6.7","9.5"
"Mozambique","8.4","14","4.1","8.5","14","4.2","9.5","15.5","4.9","14.2","22.9","7.3"
"Myanmar","8.1","6.3","9.8","8","6.3","9.6","7.9","6.2","9.4","7.9","4.8","10.7"
"Namibia","11.5","19.4","4.9","11.8","19.8","5.1","13.5","22.7","5.7","14.5","24.3","5.9"
"Nepal","9.6","11.4","8","10.1","11.9","8.5","12.2","13.5","11","18","20.9","15.5"
"Netherlands","9.6","12.9","6.4","9.7","12.9","6.4","8.2","11.6","4.8","8.3","11.4","5.3"
"New Zealand","11.6","17.3","6.2","11.6","17.3","6.2","12.2","17.7","6.9","12.7","21.3","4.5"
"Nicaragua","11.9","19.2","5","11.9","19.3","5.1","12.4","19.8","5.5","18.3","29.4","8"
"Niger","9","11.5","6.7","9.1","11.6","6.7","9.4","11.7","7.2","8.8","10.7","7"
"Nigeria","17.3","17.5","17.1","17.5","17.2","17.6","18.2","16.1","20.1","18.5","16","20.6"
"Norway","10.1","13.6","6.5","10.2","13.3","7","10.6","14.7","6.5","12","18.1","6"
"Oman","3.5","4.8","0.9","3.6","5","1","3.5","5.1","1","4.8","7.1","1.6"
"Pakistan","3.1","3","3.1","3.1","3.1","3.2","3.3","3.2","3.5","4","3.6","4.4"
"Panama","4.4","7.6","1.2","4","6.7","1.4","5.3","9.1","1.5","6.6","11.7","1.6"
"Papua New Guinea","7","10.2","3.8","7","10.1","3.8","6.4","9.1","3.7","8.4","11.8","5"
"Paraguay","9.3","12.3","6.2","9.6","12.9","6.3","9.3","12.6","6","11","15.6","6.4"
"Peru","5.1","7.6","2.7","5.1","7.6","2.7","4.9","7.5","2.5","6","8.8","3.3"
"Philippines","3.7","5.2","2.3","3.8","5.4","2.3","4","5.7","2.3","3.1","4.5","1.8"
"Poland","13.4","23.9","3.4","13.1","23.5","3.3","15.5","28","3.7","15.2","26.6","4.7"
"Portugal","8.6","14.3","3.8","8.6","14.3","3.8","8.8","14.4","4.2","5.3","9.2","2.1"
"Qatar","5.8","7.3","1.1","5.7","7.1","1.1","5.1","6.5","1.1","3.8","4.9","1.4"
"Republic of Korea","20.2","29.6","11.6","21.4","31.4","12.5","28.1","39.3","18.7","14.2","20.8","8.5"
"Republic of Moldova","13.4","24.1","3.8","14","24.9","4.5","18","32.5","5.1","15.6","29.2","4.1"
"Romania","8","13.9","2.4","9.1","16.2","2.5","11.5","19.8","3.7","11.7","19.9","3.8"
"Russian Federation","26.5","48.3","7.5","27.5","49.9","7.9","34.5","62.3","10.2","47.5","85.8","13.7"
"Rwanda","11","16.9","6","11.2","17.2","6.2","12.5","18.7","7.2","24.6","30.5","19.4"
"Saint Lucia","7.3","12.7","2.1","7.3","12.9","2.1","6.1","11","1.6","7.4","13","2.4"
"Saint Vincent and the Grenadines","2.4","3.9","0.9","2.7","4.3","1.1","3.2","5.7","0.6","7.2","13.6","0.9"
"Samoa","5.4","8.7","2.2","5.5","8.9","2.2","6.4","10.3","2.6","10.7","16.7","4.6"
"Sao Tome and Principe","3.1","4.2","2.1","3.1","4.2","2.1","2.8","3.9","1.9","2.7","3.8","1.7"
"Saudi Arabia","3.4","4.6","1.7","3.4","4.6","1.7","3.8","5.4","1.7","3.4","5","1.4"
"Senegal","11.8","20.3","5.2","12.1","20.8","5.4","13.1","21.9","6.2","14","22.6","6.8"
"Serbia","10.9","17.3","5.2","10.6","16.8","5.2","11.3","18.3","5.2","16.8","25.8","9.1"
"Seychelles","8.3","15","2.1","8.5","15.1","2.1","9","15.6","2.2","9.4","16.7","2.5"
"Sierra Leone","16.1","18.2","14.2","15.7","17.4","13.9","16","17.7","14.3","19.2","21.9","16.6"
"Singapore","7.9","11.1","4.9","7.6","10.2","5.2","8.4","11.1","6","11.7","15.5","8.1"
"Slovakia","10.1","18.4","2.6","10.1","18.4","2.6","11.4","20.6","3.1","12.8","22.2","4.4"
"Slovenia","13.3","22.4","4.5","14.8","24.3","5.8","15.5","26.5","5.1","26","40.5","13.2"
"Solomon Islands","5.9","8.5","3.2","6.1","8.8","3.4","7.1","10","4.2","12.7","16.9","8.4"
"Somalia","8.3","11.5","5.4","8.3","11.4","5.4","7.6","10.3","5.2","8.2","11","5.6"
"South Africa","12.8","21.7","5.1","13.1","22.1","5.3","13.9","22.9","6.1","14.4","22.7","7.1"
"South Sudan","6.1","8.3","4.1","6","8.2","4","6.7","9.1","4.5","8","11","5.3"
"Spain","6.1","9.3","3.1","5.7","8.7","3","5.1","8.1","2.2","6.5","10.4","3"
"Sri Lanka","14.2","23.3","6.2","14.5","24","6.1","19.2","31.2","8.4","30.3","47.8","13.5"
"Sudan","9.5","14.5","4.6","9.5","14.5","4.5","9.5","14.6","4.6","9.5","14.6","4.4"
"Suriname","23.2","36.1","10.9","24.4","38","11.4","28.3","43.7","13.3","26.4","41.5","11.6"
"Sweden","11.7","15.8","7.4","12.3","16.9","7.7","12","17.1","6.8","12.2","16.8","7.7"
"Switzerland","11.3","15.8","6.9","11.4","16.1","6.9","11.3","15.9","7","16.8","24.7","9.4"
"Syrian Arab Republic","2.4","3.8","1.1","2.4","3.8","1.1","2.4","3.7","1.1","1.8","2.9","0.8"
"Tajikistan","3.3","5","1.7","3.4","5","1.8","3.4","5","1.8","4.2","6.3","2.2"
"Thailand","12.9","21.4","4.8","13.1","21.7","4.9","13","21","5.5","15.9","23.7","8.3"
"The former Yugoslav republic of Macedonia","6.2","9.7","3","6.2","9.7","3","4.9","7.2","2.6","7.1","10.3","4.1"
"Timor-Leste","6.4","9","3.7","6.4","9","3.8","7.6","10.5","4.7","13.6","18.7","8.3"
"Togo","16.6","22.7","10.9","16.3","22.3","10.7","16.9","23","11.2","17.2","23.2","11.8"
"Tonga","4","5.2","2.9","4","5.2","2.9","4.3","5.5","3.1","4.5","5.1","3.9"
"Trinidad and Tobago","12.9","21.9","4.3","12.8","21.7","4.4","13.5","22.1","5.4","15.2","24","6.4"
"Tunisia","3.2","4.4","2.2","3.3","4.4","2.2","3.6","5","2.3","3.8","5.4","2.3"
"Turkey","7.2","11.3","3.2","7.2","11.3","3.3","8.1","12.8","3.8","7.3","12","2.9"
